name,party,state,url
Angela Alsobrooks,D,MD,//www.c-span.org/person/?137939/AngelaAlsobrooks
Alan Armstrong,R,OK,//www.c-span.org/person/?148158/AlanArmstrong
Tammy Baldwin,D,WI,//www.c-span.org/person/?57884/TammyBaldwin
Jim Banks,R,IN,//www.c-span.org/person/?89806/JimBanks
John A. Barrasso M.D.,R,WY,//www.c-span.org/person/?1011694/JohnABarrassoMD
Michael Bennet,D,CO,//www.c-span.org/person/?1031622/MichaelBennet
Marsha Blackburn,R,TN,//www.c-span.org/person/?31226/MarshaBlackburn
Richard Blumenthal,D,CT,//www.c-span.org/person/?21799/RichardBlumenthal
Lisa Blunt Rochester,D,DE,//www.c-span.org/person/?104772/LisaBluntRochester
Cory Booker,D,NJ,//www.c-span.org/person/?84679/CoryBooker
John Boozman,R,AR,//www.c-span.org/person/?92069/JohnBoozman
Katie Elizabeth Britt,R,AL,//www.c-span.org/person/?135511/KatieElizabethBritt
Ted Budd,R,NC,//www.c-span.org/person/?103513/TedBudd
Maria Cantwell,D,WA,//www.c-span.org/person/?26137/MariaCantwell
Shelley Moore Capito,R,WV,//www.c-span.org/person/?83737/ShelleyMooreCapito
Bill Cassidy,R,LA,//www.c-span.org/person/?1030546/BillCassidy
Susan M. Collins,R,ME,//www.c-span.org/person/?45738/SusanMCollins
Chris Coons,D,DE,//www.c-span.org/person/?9269028/ChrisCoons
John Cornyn,R,TX,//www.c-span.org/person/?93131/JohnCornyn
Catherine Cortez Masto,D,NV,//www.c-span.org/person/?105698/CatherineCortezMasto
Tom Cotton,R,AR,//www.c-span.org/person/?63928/TomCotton
Kevin Cramer,R,ND,//www.c-span.org/person/?7600/KevinCramer
Mike Crapo,R,ID,//www.c-span.org/person/?26440/MikeCrapo
Ted Cruz,R,TX,//www.c-span.org/person/?1019953/TedCruz
John R. Curtis,R,UT,//www.c-span.org/person/?110801/JohnRCurtis
Steve Daines,R,MT,//www.c-span.org/person/?1034037/SteveDaines
Tammy Duckworth,D,IL,//www.c-span.org/person/?94484/TammyDuckworth
Dick Durbin,D,IL,//www.c-span.org/person/?6741/DickDurbin
Joni Ernst,R,IA,//www.c-span.org/person/?75342/JoniErnst
John Fetterman,D,PA,//www.c-span.org/person/?9263400/JohnFetterman
Deb Fischer,R,NE,//www.c-span.org/person/?1034067/DebFischer
Ruben Gallego,D,AZ,//www.c-span.org/person/?77233/RubenGallego
Kirsten E. Gillibrand,D,NY,//www.c-span.org/person/?1022862/KirstenEGillibrand
Lindsey Graham,R,SC,//www.c-span.org/person/?36782/LindseyGraham
Chuck Grassley,R,IA,//www.c-span.org/person/?1167/ChuckGrassley
Bill Hagerty,R,TN,//www.c-span.org/person/?109067/BillHagerty
Maggie Hassan,D,NH,//www.c-span.org/person/?67481/MaggieHassan
Josh Hawley,R,MO,//www.c-span.org/person/?114972/JoshHawley
Martin Heinrich,D,NM,//www.c-span.org/person/?1030686/MartinHeinrich
John W. Hickenlooper,D,CO,//www.c-span.org/person/?1016627/JohnWHickenlooper
Mazie Hirono,D,HI,//www.c-span.org/person/?91216/MazieHirono
John Hoeven,R,ND,//www.c-span.org/person/?85233/JohnHoeven
Jon Husted,R,OH,//www.c-span.org/person/?1030740/JonHusted
Cindy Hyde-Smith,R,MS,//www.c-span.org/person/?113208/CindyHydeSmith
Ron Johnson,R,WI,//www.c-span.org/person/?62835/RonJohnson
Jim Justice,R,WV,//www.c-span.org/person/?105143/JimJustice
Tim Kaine,D,VA,//www.c-span.org/person/?49219/TimKaine
Mark E. Kelly,D,AZ,//www.c-span.org/person/?1020482/MarkEKelly
John Neely Kennedy,R,LA,//www.c-span.org/person/?45754/JohnNeelyKennedy
Andy Kim,D,NJ,//www.c-span.org/person/?116909/AndyKim
Angus King Jr.,I,ME,//www.c-span.org/person/?37413/AngusKingJr
Amy Klobuchar,D,MN,//www.c-span.org/person/?83701/AmyKlobuchar
James Lankford,R,OK,//www.c-span.org/person/?1033847/JamesLankford
Mike Lee,R,UT,//www.c-span.org/person/?9267977/MikeLee
Ben Ray Luján,D,NM,//www.c-span.org/person/?1031351/BenRayLujn
Cynthia Lummis,R,WY,//www.c-span.org/person/?138424/CynthiaLummis
Edward J. Markey,D,MA,//www.c-span.org/person/?260/EdwardJMarkey
Roger Marshall M.D.,R,KS,//www.c-span.org/person/?103425/RogerMarshallMD
Mitch McConnell,R,KY,//www.c-span.org/person/?2351/MitchMcConnell
David H. McCormick,R,PA,//www.c-span.org/person/?88007/DavidHMcCormick
Jeff Merkley,D,OR,//www.c-span.org/person/?94810/JeffMerkley
Ashley Moody,R,FL,//www.c-span.org/person/?119782/AshleyMoody
Jerry Moran,R,KS,//www.c-span.org/person/?45469/JerryMoran
Bernie Moreno,R,OH,//www.c-span.org/person/?139379/BernieMoreno
Markwayne Mullin,R,OK,//www.c-span.org/person/?1034045/MarkwayneMullin
Lisa Murkowski,R,AK,//www.c-span.org/person/?1004138/LisaMurkowski
Chris Murphy,D,CT,//www.c-span.org/person/?1021270/ChrisMurphy
Patty Murray,D,WA,//www.c-span.org/person/?25277/PattyMurray
Jon Ossoff,D,GA,//www.c-span.org/person/?108622/JonOssoff
Alex Padilla,D,CA,//www.c-span.org/person/?76594/AlexPadilla
Rand Paul,R,KY,//www.c-span.org/person/?9265241/RandPaul
Gary Peters,D,MI,//www.c-span.org/person/?50199/GaryPeters
Jack Reed,D,RI,//www.c-span.org/person/?24239/JackReed
Pete Ricketts,R,NE,//www.c-span.org/person/?61233/PeteRicketts
Jim Risch,R,ID,//www.c-span.org/person/?61620/JimRisch
Jacky Rosen,D,NV,//www.c-span.org/person/?104738/JackyRosen
Mike Rounds,R,SD,//www.c-span.org/person/?78317/MikeRounds
Marco Rubio,R,FL,//www.c-span.org/person/?87599/MarcoRubio
Bernie Sanders,I,VT,//www.c-span.org/person/?994/BernieSanders
Brian E. Schatz,D,HI,//www.c-span.org/person/?87784/BrianESchatz
Adam B. Schiff,D,CA,//www.c-span.org/person/?90167/AdamBSchiff
Eric Schmitt,R,MO,//www.c-span.org/person/?122343/EricSchmitt
Chuck Schumer,D,NY,//www.c-span.org/person/?5929/ChuckSchumer
Tim Scott,R,SC,//www.c-span.org/person/?623506/TimScott
Rick Scott,R,FL,//www.c-span.org/person/?33129/RickScott
Jeanne Shaheen,D,NH,//www.c-span.org/person/?14248/JeanneShaheen
Tim Sheehy,R,MT,//www.c-span.org/person/?140457/TimSheehy
Elissa Slotkin,D,MI,//www.c-span.org/person/?76002/ElissaSlotkin
Tina Smith,D,MN,//www.c-span.org/person/?111313/TinaSmith
Dan Sullivan,R,AK,//www.c-span.org/person/?1023262/DanSullivan
John Thune,R,SD,//www.c-span.org/person/?45552/JohnThune
Thom Tillis,R,NC,//www.c-span.org/person/?77055/ThomTillis
Tommy Tuberville,R,AL,//www.c-span.org/person/?126795/TommyTuberville
Chris Van Hollen,D,MD,//www.c-span.org/person/?20756/ChrisVanHollen
JD Vance,R,OH,//www.c-span.org/person/?105171/JDVance
Mark R. Warner,D,VA,//www.c-span.org/person/?7630/MarkRWarner
Raphael Warnock,D,GA,//www.c-span.org/person/?63506/RaphaelWarnock
Elizabeth Warren,D,MA,//www.c-span.org/person/?1023023/ElizabethWarren
Peter Welch,D,VT,//www.c-span.org/person/?1019990/PeterWelch
Sheldon Whitehouse,D,RI,//www.c-span.org/person/?60599/SheldonWhitehouse
Roger Wicker,R,MS,//www.c-span.org/person/?18203/RogerWicker
Ron Wyden,D,OR,//www.c-span.org/person/?1962/RonWyden
Todd Young,R,IN,//www.c-span.org/person/?1033743/ToddYoung
